Completed Date,Task Title,Project Title
2021-04-13 15:44:51+00:00,IWP Final Progress and Wellness Video Presentation,ESCE 5271: Wellness
2021-04-14 20:05:07+00:00,Comment on Wellness,Inbox
2021-04-15 00:02:46+00:00,Wellness Final Exam,ESCE 5271: Wellness
2021-04-18 21:17:07+00:00,Exercise,Inbox
2021-04-18 21:17:14+00:00,Craft CAREER Agenda,EED
2021-04-18 21:17:14+00:00,Write for ASEE,EED
2021-04-18 21:17:14+00:00,Craft Writing Agenda,EED
2021-04-18 21:18:10+00:00,Write Reflections for Seminar,EED
2021-04-21 15:52:46+00:00,Send AB meeting Email,EED
2021-04-21 15:52:49+00:00,Creswell & Plano Clark (2018): Chapter 9,ENGR 6194: Mixed Methods Research
2021-04-21 15:52:52+00:00,Greene (2007): Chapter 11,ENGR 6194: Mixed Methods Research
2021-04-21 15:52:52+00:00,Final Presentation,ENGR 6194: Mixed Methods Research
2021-04-21 15:53:00+00:00,Craft 1:1 Agenda,EED
2021-04-21 16:03:13+00:00,Track Writing Time,EED
2021-04-21 16:03:13+00:00,Track Work Time,EED
2021-04-21 16:03:26+00:00,Craft Writing Agenda,EED
2021-04-21 16:13:20+00:00,Email Sumitro about Participant Summary Sheets,EED
2021-04-21 17:31:21+00:00,Moved REV Transcripts to Correct Location,EED
2021-04-23 19:03:33+00:00,Schedule Article,The Renegade Coder
2021-04-24 19:58:02+00:00,Clear out Email Inbox,EED
2021-04-24 19:58:06+00:00,Craft CAREER Agenda,EED
2021-04-24 20:00:43+00:00,Complete Conflict of Interest Form,EED
2021-04-24 20:19:24+00:00,Email Sumitro,EED
2021-04-24 20:25:52+00:00,Pay Water Bill,Inbox
2021-04-24 20:51:34+00:00,Complete Inclusive Engineer Training,EED
2021-04-24 22:04:31+00:00,Exercise,Inbox
2021-04-27 15:21:24+00:00,Final Proposal,ENGR 6194: Mixed Methods Research
2021-04-27 19:00:37+00:00,Clean Transcripts,EED
2021-04-27 21:56:55+00:00,Schedule Article,The Renegade Coder
2021-04-27 21:56:57+00:00,Schedule Article,The Renegade Coder
2021-04-27 21:56:59+00:00,Schedule Article,The Renegade Coder
2021-04-28 18:09:32+00:00,Prepare for Advisory Board Meeting,EED
2021-04-28 18:09:43+00:00,Prep Data Condensation Folder,EED
2021-04-28 18:13:09+00:00,CAREER Meeting Schedule,EED
2021-04-28 18:13:14+00:00,Craft Writing Agenda,EED
2021-04-28 22:47:43+00:00,Clean transcripts,EED
2021-04-28 23:52:30+00:00,Craft CAREER Agenda,EED
2021-04-28 23:58:34+00:00,Track Work Time,EED
2021-04-30 00:52:27+00:00,Schedule Article,The Renegade Coder
2021-04-30 03:47:57+00:00,Schedule Article,The Renegade Coder
2021-04-30 18:24:56+00:00,Setup remote desktop,EED
2021-04-30 18:26:45+00:00,Schedule Meeting w/ Amy,EED
2021-04-30 19:05:45+00:00,Write for ASEE,EED
2021-04-30 19:17:05+00:00,Track Writing Time,EED
2021-04-30 19:19:35+00:00,Track Work Time,EED
2021-04-30 19:30:36+00:00,Create Summer Meeting Box Note,EED
2021-04-30 19:42:20+00:00,Download Inuit Data,Inbox
2021-04-30 19:57:12+00:00,Update Newsletter,The Renegade Coder
2021-04-30 20:22:05+00:00,Put Clothes Away,Inbox
2021-04-30 20:22:06+00:00,Do Fluent Forever,Life
2021-04-30 20:28:23+00:00,Do Duolingo,Life
2021-04-30 20:36:24+00:00,Vacuum,Inbox
2021-04-30 20:47:45+00:00,Pack Bags,Inbox
2021-05-04 18:02:22+00:00,Upload transcripts,EED
2021-05-04 18:17:53+00:00,Order gift cards,EED
2021-05-04 18:24:38+00:00,Schedule CAREER Meeting,EED
2021-05-04 19:21:32+00:00,Write for ASEE,EED
2021-05-04 19:22:49+00:00,Schedule Patreon Post,The Renegade Coder
2021-05-04 19:25:52+00:00,Schedule Patreon Post,The Renegade Coder
2021-05-04 19:36:12+00:00,Reupload to DEV,The Renegade Coder
2021-05-04 19:40:15+00:00,Schedule Patreon Post,The Renegade Coder
2021-05-04 19:44:54+00:00,Schedule Patreon Post,The Renegade Coder
2021-05-04 19:46:05+00:00,Plot ASEE schedule on calendar,Inbox
2021-05-04 20:00:00+00:00,Track OSU fall dates,Inbox
2021-05-04 20:34:55+00:00,Do Fluent Forever,Life
2021-05-05 19:06:55+00:00,Craft 1:1 Agenda,EED
2021-05-05 19:07:07+00:00,Submit request for Server Access,EED
2021-05-05 20:17:34+00:00,Schedule Article,The Renegade Coder
2021-05-05 20:17:36+00:00,Schedule Article,The Renegade Coder
2021-05-05 20:59:12+00:00,Schedule Article,The Renegade Coder
2021-05-05 21:41:08+00:00,Do Fluent Forever,Life
2021-05-06 03:45:15+00:00,Do Duolingo,Life
2021-05-06 17:26:27+00:00,Update meeting date & time,EED
2021-05-06 17:59:34+00:00,Do Fluent Forever,Life
2021-05-06 18:05:34+00:00,Do Duolingo,Life
2021-05-06 18:11:42+00:00,Craft CAREER Agenda,EED
2021-05-06 18:11:43+00:00,Craft Writing Agenda,EED
2021-05-06 19:19:07+00:00,Track Work Time,EED
2021-05-06 19:39:31+00:00,Clean transcripts,EED
2021-05-07 17:47:04+00:00,Do Duolingo,Life
2021-05-07 19:21:26+00:00,Clean transcripts,EED
2021-05-07 19:24:35+00:00,Schedule CAREER Meeting,EED
2021-05-07 22:14:25+00:00,Do Fluent Forever,Life
2021-05-09 17:36:58+00:00,Create Strategic Plan for Summar,EED
2021-05-09 22:24:30+00:00,Do Duolingo,Life
2021-05-09 22:24:30+00:00,Do Fluent Forever,Life
2021-05-09 22:24:41+00:00,Exercise,Life
2021-05-09 22:27:07+00:00,Track Work Time,EED
2021-05-09 22:29:47+00:00,Track Writing Time,EED
2021-05-09 23:39:43+00:00,Fixed broken links,The Renegade Coder
2021-05-10 18:54:03+00:00,Write for ASEE,EED
2021-05-10 20:11:57+00:00,Do Fluent Forever,Life
2021-05-11 17:32:49+00:00,Schedule Article,The Renegade Coder
2021-05-11 23:20:56+00:00,Do Fluent Forever,Life
2021-05-11 23:20:56+00:00,Do Duolingo,Life
2021-05-11 23:20:59+00:00,Address all comments through findings,EED
2021-05-11 23:24:44+00:00,Track Work Time,EED
2021-05-11 23:27:48+00:00,Craft Writing Agenda,EED
2021-05-11 23:27:54+00:00,Write for ASEE,EED
2021-05-13 15:32:27+00:00,Read emails,EED
2021-05-13 15:47:50+00:00,Reach out about outstanding summer fees,EED
2021-05-13 15:52:06+00:00,Check status of gift cards,EED
2021-05-13 16:40:15+00:00,Send gift cards,EED
2021-05-13 16:51:58+00:00,Send email to Lexi about OneDrive,EED
2021-05-13 16:57:40+00:00,Therapy,Life
2021-05-13 19:31:34+00:00,Schedule advisory board meeting,EED
2021-05-13 19:32:19+00:00,Check status of ETS access,EED
2021-05-14 01:38:21+00:00,Do Fluent Forever,Life
2021-05-14 01:38:26+00:00,Write for ASEE,EED
2021-05-14 01:47:54+00:00,Do Duolingo,Life
2021-05-14 01:53:58+00:00,Create Race Protocol IRB Folder,EED
2021-05-14 16:41:21+00:00,Email Lexi about transcripts,EED
2021-05-14 18:44:07+00:00,Write for ASEE,EED
2021-05-14 18:47:06+00:00,Track Work Time,EED
2021-05-14 18:50:12+00:00,Track Writing Time,EED
2021-05-15 16:39:07+00:00,Write for ASEE,EED
2021-05-15 16:57:40+00:00,Craft CAREER Agenda,EED
2021-05-15 17:06:50+00:00,Figure out Missing Participants,EED
2021-05-17 16:33:33+00:00,Exercise,Life
2021-05-17 17:58:00+00:00,Do Fluent Forever,Life
2021-05-17 18:01:15+00:00,Do Duolingo,Life
2021-05-17 18:42:28+00:00,Create Dissertation Strategic Plan,EED
2021-05-17 18:47:51+00:00,Work on Dissertation Literature Trace,EED
2021-05-17 18:51:45+00:00,Craft Writing Agenda,EED
2021-05-17 18:57:11+00:00,Reschedule Meetings,EED
2021-05-17 19:24:44+00:00,Meditate,Life
2021-05-18 03:11:36+00:00,Toy with Matplotlib and Pandas,The Renegade Coder
2021-05-18 17:32:29+00:00,Write for ASEE,EED
2021-05-18 17:32:46+00:00,Reschedule Meetings,EED
2021-05-18 20:59:49+00:00,Do Duolingo,Life
2021-05-18 21:11:34+00:00,Write Article on Data Viz with Trip Data,The Renegade Coder
2021-05-18 21:46:52+00:00,Do Fluent Forever,Life
2021-05-18 21:46:55+00:00,Meditate,Life
2021-05-19 17:22:12+00:00,Revise 1:1 Agenda,EED
2021-05-19 17:22:22+00:00,Do Fluent Forever,Life
2021-05-19 17:22:24+00:00,Exercise,Life
2021-05-19 17:22:29+00:00,Craft 1:1 Agenda,EED
2021-05-19 18:18:10+00:00,Dishes,Inbox
2021-05-19 18:28:37+00:00,Do Duolingo,Life
2021-05-19 19:08:18+00:00,Generate Summary Sheet for Freya,EED
2021-05-21 05:18:50+00:00,Implement README Automation,The Renegade Coder
2021-05-21 16:59:15+00:00,Send file to REV,EED
2021-05-21 20:14:59+00:00,Do Duolingo,Life
2021-05-21 20:15:02+00:00,Create Key Questions for Advisory Board,EED
2021-05-21 20:15:52+00:00,Fix Issues with Sample Programs Docs Generator,The Renegade Coder
2021-05-21 20:15:52+00:00,Work on Advisory Board Presentation,EED
2021-05-21 20:18:03+00:00,Therapy,Life
2021-05-21 20:49:07+00:00,Track Work Time,EED
2021-05-21 20:51:33+00:00,Pay Bills,Inbox
2021-05-21 21:09:12+00:00,Added Credit Feature to READMEs,The Renegade Coder
2021-05-21 21:21:29+00:00,Track Writing Time,EED
2021-05-21 22:12:19+00:00,Exercise,Life
2021-05-22 22:20:45+00:00,Do Fluent Forever,Life
2021-05-22 22:20:47+00:00,Refill Prescription,Inbox
2021-05-22 22:20:49+00:00,Write Article for Sample Programs,The Renegade Coder
2021-05-22 22:25:29+00:00,Do Duolingo,Life
2021-05-22 22:25:39+00:00,Schedule Article,The Renegade Coder
2021-05-22 22:25:41+00:00,Schedule Article,The Renegade Coder
2021-05-26 17:20:37+00:00,Exercise,Life
2021-05-26 17:20:40+00:00,Craft CAREER Agenda,EED
2021-05-26 17:20:42+00:00,Craft Writing Agenda,EED
2021-05-26 17:23:02+00:00,Do Duolingo,Life
2021-05-26 18:39:01+00:00,Write for ASEE,EED
2021-05-26 18:47:20+00:00,Write for Dissertation,Inbox
2021-05-27 20:55:13+00:00,Therapy,Life
2021-05-27 20:55:16+00:00,Write for ASEE,EED
2021-05-27 23:56:59+00:00,Provide feedback to Cassie,EED
2021-05-28 19:30:26+00:00,Write for ASEE,EED
2021-05-28 19:59:05+00:00,Do Fluent Forever,Life
2021-06-01 02:20:36+00:00,Craft Writing Agenda,EED
2021-06-01 02:20:54+00:00,Complete Freya's Summary Table,EED
2021-06-01 02:31:16+00:00,Craft CAREER Agenda,EED
2021-06-01 02:37:45+00:00,Track Writing Time,EED
2021-06-01 02:37:47+00:00,Track Work Time,EED
2021-06-01 03:10:45+00:00,Do Duolingo,Life
2021-06-01 03:23:05+00:00,Do Fluent Forever,Life
2021-06-01 03:23:18+00:00,Exercise,Life
2021-06-01 03:34:28+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-01 03:34:33+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-01 04:45:41+00:00,Update Newsletter,The Renegade Coder
2021-06-01 04:48:59+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-01 05:02:50+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-01 05:02:52+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-01 15:45:31+00:00,Update AB Materials,EED
2021-06-01 19:26:58+00:00,Craft 1:1 Agenda,EED
2021-06-01 23:26:23+00:00,Write for Dissertation,Inbox
2021-06-02 00:15:20+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-02 00:20:15+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-02 00:40:11+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-02 16:17:43+00:00,Add Narrative Elements to Summary Sheet,EED
2021-06-02 16:19:43+00:00,Move Freya Summary Sheet to Advisory Board Materials,EED
2021-06-02 16:34:15+00:00,Create Template from Summary Sheet,EED
2021-06-02 16:39:40+00:00,Send Summary Sheet to Lexi,EED
2021-06-02 20:26:18+00:00,Send Materials to AB,EED
2021-06-02 20:31:18+00:00,Send Email to Pawley,EED
2021-06-03 19:42:14+00:00,Schedule Advisory Board Meeting w/ Pawley,EED
2021-06-03 20:21:28+00:00,Do Fluent Forever,Life
2021-06-03 21:53:04+00:00,Finalize Presentation for AB,EED
2021-06-03 21:53:07+00:00,Share Presentation,EED
2021-06-03 21:56:23+00:00,Therapy,Life
2021-06-04 03:43:41+00:00,Do Duolingo,Life
2021-06-05 15:52:36+00:00,Track Work Time,EED
2021-06-05 15:56:08+00:00,Track Writing Time,EED
2021-06-05 15:58:41+00:00,Do Duolingo,Life
2021-06-05 16:07:26+00:00,Do Fluent Forever,Life
2021-06-06 17:32:05+00:00,Do Duolingo,Life
2021-06-06 17:45:16+00:00,Add Netflix History to Trakt,Inbox
2021-06-06 18:16:44+00:00,Exercise,Life
2021-06-06 18:29:38+00:00,Make AB Question Document,EED
2021-06-06 18:31:44+00:00,Craft CAREER Agenda,EED
2021-06-06 18:49:22+00:00,Ask about ETS ticket,EED
2021-06-06 18:50:01+00:00,Send emails about NSF reports,EED
2021-06-06 19:18:27+00:00,Revise AB Presentation,EED
2021-06-06 19:35:00+00:00,Do Fluent Forever,Life
2021-06-06 19:44:26+00:00,Meditate,Life
2021-06-06 23:48:48+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-06 23:48:50+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-06 23:54:41+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-07 00:27:31+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-07 00:27:39+00:00,Schedule Article,The Renegade Coder
2021-06-07 00:27:44+00:00,Schedule Article,The Renegade Coder
2021-06-07 00:27:47+00:00,Schedule Article,The Renegade Coder
2021-06-07 00:30:44+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-07 00:30:46+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-07 00:31:04+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-07 00:33:48+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-07 04:25:39+00:00,Schedule Article,The Renegade Coder
2021-06-07 04:25:41+00:00,Schedule Article,The Renegade Coder
2021-06-07 04:25:46+00:00,Schedule Article,The Renegade Coder
2021-06-07 20:08:09+00:00,Setup command prompt for video recording,The Renegade Coder
2021-06-07 20:21:47+00:00,Setup mic using Krisp,The Renegade Coder
2021-06-07 21:19:44+00:00,"Make a video for [How to Empty a List in Python: Clear(), Del, and More! – The Renegade Coder](https://therenegadecoder.com/code/how-to-empty-a-list-in-python/)",The Renegade Coder
2021-06-08 00:13:40+00:00,"Make a video for [How to Capitalize a String in Python: Upper(), Capitalize(), And More – The Renegade Coder](https://therenegadecoder.com/code/how-to-capitalize-a-string-in-python/)",The Renegade Coder
2021-06-08 05:01:52+00:00,Exercise,Life
2021-06-08 16:03:35+00:00,Follow up on Dr. Kaifez,EED
2021-06-09 02:18:02+00:00,Schedule YouTube Video,The Renegade Coder
2021-06-09 02:18:06+00:00,Schedule YouTube Video,The Renegade Coder
2021-06-09 03:33:11+00:00,Do Duolingo,Life
2021-06-09 03:33:11+00:00,Do Fluent Forever,Life
2021-06-09 18:52:27+00:00,Gave Mel Feedback,EED
2021-06-09 19:24:41+00:00,Do Fluent Forever,Life
2021-06-09 19:32:28+00:00,Do Duolingo,Life
2021-06-09 20:22:44+00:00,Exercise,Life
2021-06-15 15:23:19+00:00,Get Through Emails,EED
2021-06-15 15:23:23+00:00,Craft CAREER Agenda,EED
2021-06-15 16:11:02+00:00,Track Work Time,EED
2021-06-15 16:17:00+00:00,Exercise,Life
2021-06-15 16:18:35+00:00,Do Duolingo,Life
2021-06-15 16:36:59+00:00,Send Updated Questions Back,EED
2021-06-15 18:05:34+00:00,Haircut,Inbox
2021-06-17 03:23:57+00:00,Do Duolingo,Life
2021-06-17 03:23:59+00:00,Meditate,Life
2021-06-17 03:24:05+00:00,Craft 1:1 Agenda,EED
2021-06-17 03:24:08+00:00,Do Fluent Forever,Life
2021-06-17 15:08:56+00:00,Generate Quixotic Summary Sheet,EED
2021-06-17 16:08:18+00:00,Generate Stephen Summary Sheet,EED
2021-06-17 18:46:20+00:00,Therapy,Life
2021-06-17 18:48:08+00:00,Do Duolingo,Life
2021-06-17 19:06:09+00:00,Track Work Time,EED
2021-06-17 19:13:12+00:00,Track Writing Time,EED
2021-06-17 19:13:15+00:00,Exercise,Life
2021-06-17 19:13:16+00:00,Send Graduation Party Money,Inbox
2021-06-17 20:05:04+00:00,Order Gift Card,EED
2021-06-17 20:18:18+00:00,Do Fluent Forever,Life
2021-06-17 22:24:14+00:00,Automate How To Python Wiki,The Renegade Coder
2021-06-18 00:29:24+00:00,Schedule Patreon Post,The Renegade Coder
2021-06-18 00:29:51+00:00,Updated Challenges Code,The Renegade Coder
2021-06-18 15:05:27+00:00,Update calendar to include Juneteenth,EED
2021-06-18 15:07:31+00:00,Check Status of EED Backup,EED
2021-06-18 16:04:55+00:00,Create Race Protocol Draft,EED
2021-06-18 16:05:10+00:00,Draft CAREER Meeting Agenda,EED
2021-06-18 16:15:52+00:00,Track Writing Time,EED
2021-06-18 16:15:52+00:00,Track Work Time,EED
2021-06-18 16:20:21+00:00,Do Duolingo,Life
2021-06-18 16:20:27+00:00,Craft CAREER Agenda,EED
2021-06-18 21:37:54+00:00,Exercise,Life
2021-06-19 02:32:37+00:00,Do Fluent Forever,Life
2021-06-19 16:54:13+00:00,Work on NSF Report,EED
2021-06-20 01:29:46+00:00,Meditate,Life
2021-06-20 01:30:23+00:00,Updated various aspects of the How to Python repo,The Renegade Coder
2021-06-20 01:54:53+00:00,Do Fluent Forever,Life
2021-06-20 16:21:31+00:00,Check Email,EED
2021-06-20 20:24:57+00:00,Work on NSF Report,EED
2021-06-20 22:04:51+00:00,Clean up yet more code,The Renegade Coder
2021-06-20 22:04:54+00:00,Do Fluent Forever,Life
2021-06-21 02:54:46+00:00,Do Duolingo,Life
2021-06-21 02:55:02+00:00,Updated online portfolio,The Renegade Coder
2021-06-21 22:23:37+00:00,Exercise,Life
2021-06-21 22:23:47+00:00,Revise NSF Report,EED
2021-06-22 01:12:22+00:00,Send email about honorarium,EED
2021-06-22 01:37:57+00:00,Do Duolingo,Life
2021-06-22 01:38:00+00:00,Pay Advisory Board Folks!,EED
2021-06-22 02:51:19+00:00,Track Work Time,EED
2021-06-22 03:25:20+00:00,Do Fluent Forever,Life
2021-06-22 19:56:38+00:00,Schedule Trombone Article,The Renegade Coder
2021-06-22 20:15:07+00:00,Do Duolingo,Life
2021-06-22 20:39:12+00:00,Attempt to Order Books,EED
2021-06-22 20:41:57+00:00,Send NSF Report for Review,EED
2021-06-22 20:58:43+00:00,Complete race protocol synthesis,EED
2021-06-22 20:59:31+00:00,Craft CAREER Agenda,EED
2021-06-22 21:54:10+00:00,Clean some transcripts,EED
2021-06-22 22:16:33+00:00,Do Fluent Forever,Life
2021-06-23 17:01:22+00:00,Do Duolingo,Life
2021-06-23 21:36:36+00:00,Exercise,Life
2021-06-23 23:57:41+00:00,Do Fluent Forever,Life
2021-06-25 02:53:58+00:00,Schedule Trombone Article,The Renegade Coder
2021-06-25 02:54:02+00:00,Do Duolingo,Life
2021-06-25 02:54:04+00:00,Do Fluent Forever,Life
2021-06-25 02:54:05+00:00,Therapy,Life
2021-06-25 16:33:59+00:00,Do Duolingo,Life
2021-06-25 17:01:57+00:00,Do Fluent Forever,Life
2021-06-25 17:36:37+00:00,Backup CAREER Data,EED
2021-06-25 17:39:49+00:00,Fill Out NSF Demographics Thingy,EED
2021-06-25 17:55:26+00:00,Place Order for Saldana Book,EED
2021-06-25 18:02:14+00:00,Email Lesley about Book Ordering,EED
2021-06-25 18:03:16+00:00,Updated agenda,EED
2021-06-25 19:38:04+00:00,Track Work Time,EED
2021-06-25 19:58:37+00:00,Haircut,Inbox
2021-06-25 20:32:12+00:00,Exercise,Life
2021-06-26 02:42:35+00:00,Meditate,Life
2021-06-28 17:48:59+00:00,Track Writing Time,EED
2021-06-28 17:49:04+00:00,Exercise,Life
2021-06-29 00:13:33+00:00,Do Duolingo,Life
2021-06-29 03:35:40+00:00,Do Fluent Forever,Life
2021-06-29 16:27:13+00:00,Updated 1:1 Agenda,EED
2021-06-29 16:50:08+00:00,Updated How to Back Up Data document,EED
2021-06-29 19:20:24+00:00,Do Duolingo,Life
2021-06-29 19:20:28+00:00,Exercise,Inbox
2021-06-29 19:40:09+00:00,Do Fluent Forever,Life
2021-06-29 20:03:43+00:00,Add Line Numbers to Transcripts,EED
2021-06-29 20:07:03+00:00,Track Work Time,EED
2021-06-29 22:03:51+00:00,Write for Dissertation,Inbox
2021-06-30 20:49:25+00:00,Exercise,Life
2021-06-30 20:49:31+00:00,Craft 1:1 Agenda,EED
2021-06-30 21:10:05+00:00,Do Duolingo,Life
2021-06-30 21:36:08+00:00,Do Fluent Forever,Life
2021-07-01 19:32:10+00:00,Update Newsletter,The Renegade Coder
2021-07-01 19:32:14+00:00,Do Duolingo,Life
2021-07-01 19:34:36+00:00,Therapy,Life
2021-07-01 19:34:59+00:00,Write for Dissertation,Inbox
2021-07-01 19:41:25+00:00,Update Strategic Plan,EED
2021-07-01 19:50:44+00:00,Update Race Protocol,EED
2021-07-01 23:59:59+00:00,Draft ASEE Presentation,EED
2021-07-04 01:36:56+00:00,Do Duolingo,Life
2021-07-04 01:36:58+00:00,Do Fluent Forever,Life
2021-07-04 23:04:29+00:00,Do Duolingo,Life
2021-07-05 20:00:33+00:00,Craft CAREER Agenda,EED
2021-07-07 15:28:15+00:00,Send Draft to Delaine (w/ deadline),EED
2021-07-07 15:30:36+00:00,Add graphs for Zahra,EED
2021-07-10 01:55:07+00:00,Add bullet list of limitations,EED
2021-07-10 01:55:07+00:00,Finish JEE Paper with Zahra,EED
2021-07-10 01:55:07+00:00,Add bullet list of implications,EED
2021-07-10 01:55:07+00:00,Add Exemplar Images,EED
2021-07-10 01:55:34+00:00,Book Trip #,Inbox
2021-07-10 01:55:41+00:00,Meditate,Life
2021-07-10 02:15:44+00:00,Book massage,Inbox
2021-07-15 14:53:57+00:00,Get acquainted with ASEE Software,Inbox
2021-07-15 14:54:02+00:00,Craft 1:1 Agenda,EED
2021-07-15 14:54:04+00:00,Craft CAREER Agenda,EED
2021-07-15 14:54:08+00:00,Therapy,Life
2021-07-15 14:54:13+00:00,Exercise,Life
2021-07-15 15:02:12+00:00,Update ACM Account Page,Inbox
2021-07-15 15:07:38+00:00,Update Coil Payment,The Renegade Coder
2021-07-15 15:14:51+00:00,Cleaned out spam emails,Inbox
2021-07-15 15:33:22+00:00,Order book for Mel,EED
2021-07-15 15:33:23+00:00,Order book for Lexi,EED
2021-07-15 15:44:45+00:00,Order 3 books for Dringenberg,EED
2021-07-15 15:52:00+00:00,Update Strategic Plan,EED
2021-07-15 15:55:37+00:00,Craft CAREER Agenda,EED
2021-07-15 19:13:30+00:00,Publish SnakeMD,The Renegade Coder
2021-07-15 19:45:46+00:00,Do Duolingo,Life
2021-07-15 20:28:39+00:00,Track Work Time,EED
2021-07-17 01:36:53+00:00,Release v0.2.0 of SnakeMD,The Renegade Coder
2021-07-17 01:54:26+00:00,Do Fluent Forever,Life
2021-07-17 01:54:28+00:00,Do Duolingo,Life
2021-07-18 18:39:45+00:00,Track Writing Time,EED
2021-07-18 18:43:33+00:00,Do Duolingo,Life
2021-07-18 19:08:44+00:00,Meditate,Life
2021-07-18 21:05:03+00:00,Exercise,Life
2021-07-19 01:02:52+00:00,Release SnakeMD 0.3.0,The Renegade Coder
2021-07-19 01:15:29+00:00,Do Fluent Forever,Life
2021-07-19 23:52:43+00:00,Exercise,Life
2021-07-19 23:52:47+00:00,Revise ASEE Presentation,EED
2021-07-20 17:54:46+00:00,Worked on JEE Review Document for Qualifier,EED
2021-07-21 03:21:43+00:00,Do Fluent Forever,Life
2021-07-21 19:07:04+00:00,Do Duolingo,Life
2021-07-21 19:07:04+00:00,Meditate,Life
2021-07-21 19:07:25+00:00,Updated existing requisitions to use carts,EED
2021-07-21 19:15:02+00:00,Processing honorarium emails,EED
2021-07-22 01:23:45+00:00,Do Duolingo,Life
2021-07-22 01:23:45+00:00,Exercise,Life
2021-07-23 23:10:30+00:00,Do Duolingo,Life
2021-07-23 23:10:35+00:00,Do Duolingo,Life
2021-07-23 23:13:34+00:00,Track Writing Time,EED
2021-07-25 20:04:13+00:00,Finalize Transcripts,EED
2021-07-25 20:08:47+00:00,Update Strategic Plan,EED
2021-07-25 20:26:38+00:00,Do Duolingo,Life
2021-07-25 21:34:48+00:00,Exercise,Life
2021-07-25 21:34:49+00:00,Therapy,Life
2021-07-25 22:22:54+00:00,Do Fluent Forever,Life
2021-07-26 00:55:59+00:00,Updated Race Protocol,EED
2021-07-26 01:10:32+00:00,"Emails, emails, emails",EED
2021-07-26 01:36:09+00:00,Craft CAREER Agenda,EED
2021-07-26 01:42:08+00:00,Track Work Time,EED
2021-07-28 02:17:19+00:00,Do Fluent Forever,Life
2021-07-28 02:17:20+00:00,Exercise,Life
2021-07-28 02:17:20+00:00,Do Duolingo,Life
2021-07-28 03:38:32+00:00,Do Duolingo,Life
2021-07-28 03:38:44+00:00,Revise ASEE presentation,EED
2021-07-28 03:53:08+00:00,Do Duolingo,Life
2021-07-28 03:53:18+00:00,Reached out to moderator,EED
2021-07-28 03:56:01+00:00,Respond to Lexi about presentation,EED
2021-07-28 04:12:28+00:00,Created a tracking form for honorariums,EED
2021-07-30 19:02:20+00:00,Craft 1:1 Agenda,EED
2021-07-31 00:53:42+00:00,Do Duolingo,Life
2021-07-31 00:53:44+00:00,Therapy,Life
2021-07-31 00:53:47+00:00,Exercise,Life
2021-07-31 17:11:46+00:00,Do Duolingo,Life
2021-07-31 17:11:48+00:00,Do Fluent Forever,Life
2021-08-01 15:12:30+00:00,Update Newsletter,The Renegade Coder
2021-08-02 01:55:02+00:00,Do Fluent Forever,Life
2021-08-02 01:55:06+00:00,Do Duolingo,Life
2021-08-02 18:13:44+00:00,Do Duolingo,Life
2021-08-02 18:13:50+00:00,Craft CAREER Agenda,EED
2021-08-04 17:02:35+00:00,Changed Version of all IRB Files,EED
2021-08-04 17:13:32+00:00,Updated Interview Protocol for Race,EED
2021-08-04 17:26:33+00:00,Submitted IRB Amendment,EED
2021-08-04 17:29:15+00:00,Write up IRB Stuff,EED
2021-08-04 17:36:11+00:00,Track Work Time,EED
2021-08-04 17:42:36+00:00,Track Writing Time,EED
2021-08-04 19:50:50+00:00,Do Duolingo,Life
2021-08-04 20:00:49+00:00,Do Fluent Forever,Life
2021-08-05 00:34:52+00:00,Exercise,Life
2021-08-06 22:35:09+00:00,Schedule Patreon Post,The Renegade Coder
2021-08-06 22:36:15+00:00,Schedule Patreon Post,The Renegade Coder
2021-08-06 22:36:24+00:00,Schedule Patreon Post,The Renegade Coder
2021-08-06 22:36:27+00:00,Schedule Patreon Post,The Renegade Coder
2021-08-06 22:36:31+00:00,Schedule Patreon Post,The Renegade Coder
2021-08-06 22:36:38+00:00,Schedule Patreon Post,The Renegade Coder
2021-08-06 22:36:43+00:00,Schedule Patreon Post,The Renegade Coder
2021-08-10 00:02:19+00:00,Do Duolingo,Life
2021-08-10 00:02:22+00:00,Therapy,Life
2021-08-10 00:02:26+00:00,Exercise,Life
2021-08-10 01:29:39+00:00,Craft CAREER Agenda,EED
2021-08-10 03:00:54+00:00,Created Fall Strategic Plan,EED
2021-08-10 18:25:41+00:00,Do Duolingo,Life
2021-08-10 18:26:05+00:00,Polish CAREER Strategic Plan,EED
2021-08-10 18:43:00+00:00,Track Writing Time,EED
