"Timestamp","Which of the following classes is this assignment for?","Are you reviewing a project or a homework assignment?","Which project are you reviewing (enter a # between 1 and 11)?","On a scale from 1 to 5, how satisfied are you with the rubric for this project?","In what ways was this rubric helpful to you?","In what ways could this rubric be more helpful?","On a scale from 1 to 5, how satisfied are you with the checklist for this project?","In what ways was this checklist helpful to you?","In what ways could this checklist be more helpful?","Which homework assignment are you reviewing (enter a # between 1 and 37)?","Have you had a chance to check out the key for this assignment?","How satisfied are you with the homework key?","In what ways was this homework key helpful to you?","In what ways could this homework key be more helpful?","How much time did you spend on this assignment in hours?","What resources did you use to help you complete this assignment?","Which of the following emotions did you experience **before** starting this project (select all that apply)?","Which of the following emotions did you experience while completing this project (select all that apply)?","Which of the following emotions did you experience **after** completing this project (select all that apply)?"
"2023/01/16 6:58:38 PM EST","","Project","1","5","It's very helpful to know exactly what I'm being graded on, and it acts as another checklist for me.","","5","","","","","","","","3","The project page and the links it included for learning HTML, the checklist, the rubric, eclipse","Anxiety","Enjoyment;slight confusion at times","Joy;Pride;Gratitude"
"2023/01/16 7:04:14 PM EST","","Project","1","5","The rubric helped me validate that I met all the necessary requirements. ","Specify eclipse best practices ","5","It was very helpful because it showed me everything I needed to do even before starting the project and after finishing it.","n/a","","","","","","3","Websites provided in the project description.","Curiosity","Enjoyment;Frustration","Pride;Gratitude"
"2023/01/16 8:40:57 PM EST","","Project","1","3","Steps they told me to do as well as the link that helps me so much.","It reminded me of the things I need to complete, I nearly submitted a 0 score assignment without the rubric","4","the W3Schools is definnitely helpful","the W3Schools is definnitely helpful","","","","","","2","W3Schools","Anxiety","Frustration","Joy;Gratitude"
"2023/01/16 10:21:25 PM EST","","Project","1","5","The rubric was very straightforward and helped me understand what getting full points looked like.","None.","5","Very specific and spot on.","none.","","","","","","5","w3schools.com","Anxiety","Enjoyment;Frustration","Joy;Sadness"
"2023/01/16 11:41:41 PM EST","","Project","1","5","","","5","Made me double check that I had everything I needed and didn't miss something when checking through the project description. When you look at the description too long one might forget something.","","","","","","","5","W3Schools","Hope","Frustration;Boredom","Pride;Anger;Annoyance, I had a typo and researched for an hour or two about what I was doing wrong before I saw it lol"
"2023/01/17 1:20:54 AM EST","","Project","1","5","Making sure I had everything I needed to get a good score","n/a","5","Making sure I had everything I needed to get a good score","maybe having an example of what it should look like","","","","","","1.5","w3schools","Hope","Enjoyment","Joy"
"2023/01/17 1:42:28 AM EST","","Project","1","4","","","4","","","","","","","","1","w3schools","Joy","indecisiveness","Joy"
"2023/01/17 2:58:19 PM EST","","Project","1","4","","","5","","","","","","","","3","W3 Schools, the rubric, the checklist, the class discord","Anxiety;Apathy","Anger","Pride"
"2023/01/17 8:26:28 PM EST","","Homework","","","","","","","","2","No","","","","1","slides","Hopelessness","Boredom","No feeling"
"2023/01/18 12:55:15 AM EST","","Homework","","","","","","","","2","No","","","","2","","Hope","Enjoyment;Frustration","Pride"
"2023/01/18 7:55:14 AM EST","","Homework","","","","","","","","2","No","","","","1","therenegadecoder.com Java Rapid-fire Syntax slides","Anxiety","Frustration","Sadness"
"2023/01/18 2:44:51 PM EST","","Homework","","","","","","","","4","No","","","","0.3","","Hope","Enjoyment","Joy;Pride"
"2023/01/19 10:02:40 AM EST","","Project","1","5","The instructions were straight forward ","It’s pretty good already ","5","Demonstrated what I needed to do ","Nothing ","","","","","","3","YouTube videos and searching google ","Joy;Hope","Frustration","Joy;Pride;Gratitude"
"2023/01/19 10:05:02 AM EST","","Homework","","","","","","","","1","No","","","","1","My thoughts ","Hope","Enjoyment","Joy;Pride;Gratitude"
"2023/01/19 10:05:52 AM EST","","Homework","","","","","","","","2","No","","","","2","From lecture ","Joy","Enjoyment","Joy;Pride;Gratitude"
"2023/01/21 2:24:49 PM EST","","Homework","","","","","","","","3","Yes","4","the example after each problem","what method to be used or references to solve the problem","5","w3schools","Hopelessness;Anxiety","Enjoyment;Frustration","Shame;Frustration"
"2023/01/22 7:49:11 PM EST","","Homework","","","","","","","","4","No","","","","0.25","my code from lab the other day","Joy","Enjoyment","Joy"
"2023/01/23 5:01:26 PM EST","","Homework","","","","","","","","4","No","","","",".25","Monte Carlo lab","Apathy","Boredom","Extremely neutral"
"2023/01/23 8:04:12 PM EST","","Homework","","","","","","","","4","Yes","3","Key is cited clearly of what will cover in the question","OSU Componenet list","3","w3schools, stackoverflow","Hopelessness","Enjoyment;Frustration","Joy;Pride;Gratitude"
"2023/01/24 11:06:36 AM EST","","Project","2","5","Was clear and concise","","5","Useful for double checking that I met all project requirements","","","","","","","2","","Hope;Anxiety","Enjoyment","Joy;Pride"
"2023/01/24 1:52:24 PM EST","","Project","2","3","","","4","","","","","","","","1.25","Text Book","Anxiety","Enjoyment","Pride"
"2023/01/24 7:10:46 PM EST","","Homework","","","","","","","","5","No","","","","2","","Hope","Enjoyment","Joy;Pride"
"2023/01/25 1:47:32 PM EST","","Project","2","4","","","5","","","","","","","","1.5","I used the links to TheRenagadeCoder blog for help on magic numbers and commenting.","Hope;Anxiety","Enjoyment","Joy;Pride"
"2023/01/26 12:07:50 AM EST","","Project","2","1","Listed steps I need to take for hours","lesser content would be much appreciated <3","3","every way","every way","","","","","","3","cse 2221 course content","Hopelessness;Anxiety","Anger;Frustration","Hopelessness"
"2023/01/26 10:04:23 AM EST","","Project","2","5","It outlined everything I needed to include","","5","clearly outlined what needed to go into it","","","","","","","2","not much but a couple of slides","Anxiety","Enjoyment","Joy"
"2023/01/26 10:55:01 AM EST","","Project","2","5","Made me clearly know the steps that need to be done and what I will learn through this project.","N/A","5","double check if I meet all the requirements to the assignment. ","N/A","","","","","","4","stackoverflow, office hour, w3schools","Hopelessness","Enjoyment;Frustration;hope","Pride;Gratitude;satisfaction"
"2023/01/30 10:24:33 PM EST","","Homework","","","","","","","","5","No","","","","2","google and online java compiler","Hopelessness;Anxiety","Anger;Boredom","Shame"
"2023/01/31 12:29:37 PM EST","","Homework","","","","","","","","5","No","","","","1.5","","Apathy","Boredom","Gratitude;Tired"
"2023/01/31 1:36:21 PM EST","","Homework","","","","","","","","5","No","","","","3.5","previous hw","Hopelessness;Anxiety","Anger;Frustration;Overwhelmed","Pride"
"2023/01/31 2:22:12 PM EST","","Homework","","","","","","","","5","No","","","","1.5","C++ Compiler","Tired","Boredom","Satisfaction"
"2023/01/31 8:26:53 PM EST","","Project","3","5","Everything a rubric is usually helpful with, i.e. checking it alongside my work","Maybe a tiny bit of specification with the additional static method part. I had originally used an additional static method in the first version, and wasn't sure if I needed to add another for the second, or just have an additional method in the first place.","5","","","","","","","","3","Mostly just a blank page to get all my thoughts down. Also a bit of generating ideas with a friend in the same class.","Anxiety","Frustration","Pride"
"2023/02/02 1:52:51 PM EST","","Project","3","5","it helped me know exactly what to put in the project and what i needed to get a 10","none","5","showed exactly what needed to be put into the code and for me to check that i was doing everything correct","give an example of what kind of static method could be added","","","","","","1.25","the class discord","Hope","Enjoyment","Pride;Gratitude"
"2023/02/02 10:33:45 PM EST","","Project","3","4","every way","every way","4","every way","every way","","","","","","2.5","class materials","Anxiety","Anger;Frustration","Pride;Gratitude"
"2023/02/03 2:03:34 AM EST","","Project","3","3","","StaticAndIO or which one to use","3","","","","","","","","6","","Anxiety","Frustration;Boredom","Gratitude"
"2023/02/03 1:52:28 PM EST","","Project","3","5","","","5","","","","","","","","3","","Hope","Frustration","Sadness"
"2023/02/10 4:09:28 PM EST","","Project","4","5","","","5","the rss documents provided helped me find the bugs in my code which helped a lot :)","","","","","","","2","","Hope","Enjoyment","Joy;Pride"
"2023/02/12 9:24:47 AM EST","","Project","4","","Told me exactly what was expected of me for this project","None","5","Gives me thing to double check before submitting project ","Provide more examples of valid RSS feeds to test","","","","","","5","TA","Anxiety","Frustration;Confusion","Pride;Gratitude;Relief"
"2023/02/16 6:10:54 PM EST","","Project","4","4","","","5","","","","","","","","5","","Hopelessness;Anxiety","Enjoyment;Frustration","Joy;Pride"
"2023/02/16 11:49:07 PM EST","","Project","4","5","","","5","","","","","","","","5","Had to refresh myself on how to write to files in Java and format html with some quick google searches","Hopelessness;Anxiety","Enjoyment;Frustration","Joy;Pride"
"2023/02/17 1:53:34 PM EST","","Project","4","3","","","3","","","","","","","","6","","Hopelessness;Confusion","Tiredness","Satisfaction"
"2023/02/18 8:30:49 PM EST","","Homework","","","","","","","","10","No","","","","0.3","","Hope","Enjoyment","Joy;Pride"
"2023/02/19 4:24:54 PM EST","","Homework","","","","","","","","10","No","","","","1","OSU Components","Joy","Frustration","Confusion"
"2023/02/20 12:51:30 PM EST","","Homework","","","","","","","","10","No","","","",".25","CSE 2221 Natural Number Slides","Anxiety","Boredom","Joy"
"2023/02/20 2:00:55 PM EST","","Project","5","5","","","5","","","","","","","","0.5","","Joy","Enjoyment","Joy;Pride;Gratitude"
"2023/02/20 2:37:31 PM EST","","Homework","","","","","","","","10","No","","","","0.16","the API on the website","Hopelessness","Boredom","Sadness"
"2023/02/20 3:06:25 PM EST","","Homework","","","","","","","","11","No","","","","0.5","my brain","Hope;Hopelessness","Boredom","Gratitude"
"2023/02/22 4:04:01 PM EST","","Project","4","5","","","5","","","","","","","","5","Discord #project-help, the RSS slides(!!), the inspect element of the sample html output to see how it was formatted, and the project description/checklist","Hope","Frustration;Confusion","Joy;Pride"
"2023/02/23 11:17:46 AM EST","","Project","5","4","gave me good reminders on what to make sure i did","outline exactly what needed to be done for each task","3","reminded me to check for certain mistakes","i wish it gave an example rss feed to use","","","","","","4","checklist and discord","Hopelessness","Anger;Frustration","Joy;Gratitude"
"2023/02/23 2:00:34 PM EST","","Project","6","5","tells you what to expect with the scoring","be more specific with use of NaturalNumber","4","gives good reminders","nothing really the project was very straight forward","","","","","","0.5","lab on interval halving","Joy;Hope","Enjoyment","Joy;Pride;Gratitude"
"2023/02/23 2:30:48 PM EST","","Project","5","5","","","5","","","","","","","","1.5","","Hope;Anxiety","Enjoyment","Joy"
"2023/02/23 11:35:24 PM EST","","Project","5","5","Showed what my final html homepage file should look like","Different xml feeds to test","3","Linked slide 9 of rss slideshow","","","","","","","2","OSU components API and rubric","Anxiety","Frustration","Gratitude"
"2023/02/25 10:08:46 PM EST","","Project","6","5","","","5","Helps me make sure I didn't miss something on the official project page","","","","","","","4","Asked the assigned grader for help with various problems","Joy;Hope","Anger;Frustration","Joy;Pride"
"2023/02/28 11:23:47 AM EST","","Project","6","5","it hit all the points i needed","there wasnt much more it couldve included on this ","5","hit all the reminders as always","maybe just give a few extra cases","","","","","","0.4","the lab from last week","Joy;Hope","Enjoyment","Joy;Gratitude"
"2023/03/02 2:41:58 PM EST","","Project","6","5","","","5","","","","","","","","2","I found the API for natural number very useful","Hope","Enjoyment;Frustration","Joy;Pride"
"2023/03/21 5:02:05 PM EST","","Project","7","","","","5","","","","","","","","","","Hopelessness","Frustration","Joy"
"2023/03/22 1:54:57 PM EST","","Project","7","5","","","5","","","","","","","","4","","Hope","Enjoyment;Frustration;Boredom","Pride"
"2023/03/29 8:13:27 PM EST","","Project","8","5","gives me a good understanding of what my grade will be","nothing really","3","had good recommendations","it didnt have as many in detail things as i would have wanted","","","","","","7","API and class slides","Hopelessness;Anxiety","Anger;Frustration;Boredom","Pride;Gratitude;Sadness"
"2023/03/30 10:55:28 AM EST","","Project","8","5","","","4","","The checklist feels kind of vague for this project","","","","","","6","Online Powermod and GCD calculators","Hopelessness;Anxiety","Anger;Frustration","Sadness;Shame"
"2023/03/30 10:55:50 AM EST","","Project","8","5","","","4","Helped me know to submit the test file PDF","a list of the methods we have to implement would help with making the proper test cases/know which methods to test","","","","","","7.25","","Hope","Enjoyment;Frustration","Anxiety"
"2023/03/30 1:54:03 PM EST","","Homework","","","","","","","","18","No","","","","0.5","Queue PPT","Anxiety;Just a FYI, the estimated time on the assignment is horribly wrong. 10 hours +- 13 is a stressful estimated time to see when you open the assignment the day before its due O_O ","Enjoyment","Joy"
"2023/04/05 10:06:21 PM EST","","Project","9","5","","","5","","","","","","","","5","","Hope;Anxiety","Enjoyment","Joy;Pride"
"2023/04/06 12:59:19 PM EST","","Homework","","","","","","","","21","No","","","","0.5","","Hope","Enjoyment","Joy;Pride"
"2023/04/13 10:14:42 PM EST","","Project","10","5","","","5","","","","","","","","4","","Anxiety","Enjoyment","Joy;Pride"
"2023/04/20 10:32:19 PM EST","","Project","11","5","","","5","","","","","","","","4","","Anxiety","Boredom",""
"2023/04/26 2:57:35 PM EST","","Project","11","4","Very clear","","5","","","","","","","","3","Last HW and Lab, and the slides","Hopelessness","Frustration","Joy"
"2023/04/26 2:58:25 PM EST","","Project","10","5","","","5","","","","","","","","6","Other Projects, Labs, HWs and slides","Hopelessness","Anger;Frustration","Anger"
"2023/04/26 2:59:33 PM EST","","Project","1","5","","","5","","","","","","","","1","HTML resources online and slides","Joy;Hope","Enjoyment","Joy;Pride"
"2023/04/26 3:00:40 PM EST","","Project","2","5","","","5","","","","","","","","1.5","Slides and HW","Hope","Boredom","Pride"
"2023/04/26 3:01:48 PM EST","","Project","3","5","","","5","","","","","","","","3","Lab HW and slides","Hopelessness","Anger","Pride"
"2023/04/26 3:02:52 PM EST","","Project","4","5","","","5","","","","","","","","4","Project 1/HTML stuff, slides, lab and hw","Hopelessness","Anger;Frustration","Sadness"
"2023/04/26 3:03:47 PM EST","","Project","5","5","","","5","","","","","","","","4","Project 4, labs hw and slides","Hopelessness","Frustration","Anger"
"2023/04/26 3:05:23 PM EST","","Project","6","5","","","5","","","","","","","","1","Slides","Joy;Hope","Boredom","Joy"
"2023/04/26 3:06:06 PM EST","","Project","7","5","","","5","","","","","","","","4","","Hopelessness","Anger;Frustration","Anger"
"2023/04/26 3:07:03 PM EST","","Project","8","5","","","5","","","","","","","","3.5","Slides lab and HW","Hopelessness","Anger;Frustration","Pride"
"2023/04/26 3:07:45 PM EST","","Project","9","5","","","5","","","","","","","","2.5","Slides and HW","Hope","Enjoyment","Pride"
"2023/08/23 10:28:44 AM EST","CSE 2231: Software 2","Homework","","","","","","","","1","No","","","","1","The first two sets of notes.","Anxiety","Confusion","Relief/Satisfaction"
"2023/08/23 8:04:32 PM EST","CSE 2231: Software 2","Homework","","","","","","","","2","No","","","",".5","Class review of contracts","Joy","Enjoyment","Joy"
"2023/08/23 9:47:56 PM EST","CSE 2231: Software 2","Homework","","","","","","","","2","No","","","",".5","","Hopelessness","Boredom","Relief"
"2023/08/23 9:49:45 PM EST","CSE 2231: Software 2","Homework","","","","","","","","1","No","","","",".3","","Confusion","Frustration;Confusion","Joy;Pride"
"2023/08/24 7:47:14 PM EST","CSE 2231: Software 2","Homework","","","","","","","","3","No","","","",".75","","Anxiety","Relief","Joy"
"2023/08/29 11:16:58 PM EST","CSE 2231: Software 2","Homework","","","","","","","","5","No","","","",".5","List API","tired","Boredom","tired"
"2023/08/30 10:45:40 AM EST","CSE 2231: Software 2","Homework","","","","","","","","5","No","","","","","","Anxiety","Enjoyment","Gratitude"
"2023/08/31 10:54:43 AM EST","CSE 2231: Software 2","Homework","","","","","","","","6","No","","","",".5","http://web.cse.ohio-state.edu/software/common/doc/components/sequence/SequenceKernel.html","Hope","Happy that i was understanding what was going on","Pride;Gratitude"
"2023/09/11 1:39:06 PM EST","CSE 2231: Software 2","Homework","","","","","","","","09","No","","","",".5","CSE components API","No particular emotion","Frustration","Satisfaction"
"2023/09/13 4:53:56 PM EST","CSE 2231: Software 2","Homework","","","","","","","","10","No","","","",".25","Java definition of integer and class notes","","",""
"2023/09/20 8:54:49 PM EST","CSE 2231: Software 2","Project","2","3","I did not use the rubric that much because I already assumed the requirements that the rubric states, additionally, the project page goes more in depth about the requirements.","Maybe the rubric could explicitly state common errors to avoid.","","","","","","","","","2","The lecture slides","Nothingness","Enjoyment","Relief"
"2023/09/23 2:34:03 PM EST","CSE 2231: Software 2","Homework","","","","","","","","15","No","","","","0.3333333333","OSU API and the SortingMachine slides","","",""
"2023/09/25 11:22:45 PM EST","CSE 2231: Software 2","Homework","","","","","","","","15","No","","","",".667","Components API (Queue, SortingMachine), Slides (SortingMachine)","Hope","Enjoyment","Pride"
"2023/09/26 2:39:50 AM EST","CSE 2231: Software 2","Homework","","","","","","","","15","No","","","","1.2","MY BRAIN... and oracle java api for Interface Comparator<T>","dread, its late.","Frustration;Boredom","Joy;relief I can go sleep"
"2023/09/27 5:29:37 PM EST","CSE 2231: Software 2","Homework","","","","","","","","16","No","","","","0.1666666","None","","",""
"2023/09/28 10:57:59 AM EST","CSE 2231: Software 2","Homework","","","","","","","","16","No","","","",".25","API (Queue)","Hope","Enjoyment","Pride"
"2023/10/04 5:24:46 PM EST","CSE 2231: Software 2","Homework","","","","","","","","18","No","","","","1.25","","","",""
"2023/10/10 8:32:17 PM EST","CSE 2231: Software 2","Project","5","4","I was able to understand clearly what to finish and what to include in my code","Describing what the recursive methods wanted us to do (the algorithms)","4","Described everything we needed to do","Describe the algorithms in more depth. ","","","","","","5","OSU CSE API and teaching staff along with my group mate","Hope","Anger;Frustration;Fear ","Confusion"
"2023/11/02 7:17:20 PM EST","CSE 2231: Software 2","Homework","","","","","","","","27","No","","","","1.3","Course slides","Anxiety","Enjoyment","Pride"
"2023/11/28 10:08:37 PM EST","CSE 2231: Software 2","Project","9","5","","","5","","Maybe add additional ways to check for valid input","","","","","","8","I found project 1 very helpful, and I looked at previous homeworks/labs about next word or separator for that one ","Anxiety","Enjoyment;Frustration","Joy;Gratitude"
